3   # supplies
7   # customers
3   # commodities

# supply_ij, i is supplies indices, j is the commodities indices
400  800 200
700 1600 300
800 1800 300

# demand_ij, i is demands indices, j is the commodities indices
300 500 100
300 750 100
100 400   0
 75 250  50
650 950 200
225 850 100
250 500 250

# capacity_ij, i is origin indices, j is the destination indices.
625 625 625 625 625 625 625
625 625 625 625 625 625 625
625 625 625 625 625 625 625

# cost_kij, every line represent a O-D pair for three commodity demand
# ori 1, dest 1
# ori 1, dest 2
30 39 41
10 14 15
 8 11 12
10 14 16
11 16 17
71 82 86
 6  8  8
22 27 29
 7  9  9
10 12 13
 7  9  9
21 26 28
82 95 99
13 17 18
19 24 26
11 14 14
12 17 17
10 13 13
25 28 31
83 99 104
15 20 20
